product_title,product_price,product_image,product_hyperlink
"Coupon
$11.99
each
Hero Mighty Patch Original, 36 ct",$11.99,https://images.heb.com/is/image/HEBGrocery/prd-small/008893005.jpg?v=1,https://www.heb.com/product-detail/hero-mighty-patch-original/8893005
"Coupon
$10.97
each
Dove Deep Moisture Body Wash with Pump, 30.6 oz",$10.97,https://images.heb.com/is/image/HEBGrocery/prd-small/001796506.jpg?v=1,https://www.heb.com/product-detail/dove-deep-moisture-body-wash-with-pump/1796506
"Coupon
$17.97
each
Native Body Wash - Coconut & Vanilla, 36 oz",$17.97,https://images.heb.com/is/image/HEBGrocery/prd-small/005906003.jpg?v=1,https://www.heb.com/product-detail/native-body-wash-coconut-vanilla/5906003
"Coupon
$27.95
each
Color Wow Dream Coat Anti-Frizz Hair Treatment Spray, 6.7 oz",$27.95,https://images.heb.com/is/image/HEBGrocery/prd-small/002193754.jpg?v=1,https://www.heb.com/product-detail/color-wow-dream-coat-anti-frizz-hair-treatment-spray/2193754
"Coupon
$9.98
each
Maybelline Sky High Lash Sensational Mascara - Cosmic Black, Each",$9.98,https://images.heb.com/is/image/HEBGrocery/prd-small/005785023.jpg?v=1,https://www.heb.com/product-detail/maybelline-sky-high-lash-sensational-mascara-cosmic-black/5785023
"Coupon
$16.97
each
Milani Make It Last Original - Natural Finish Setting Spray Jumbo Size, 6 oz",$16.97,https://images.heb.com/is/image/HEBGrocery/prd-small/003446511.jpg?v=1,https://www.heb.com/product-detail/milani-make-it-last-original-natural-finish-setting-spray-jumbo-size/3446511
,$10,https://images.hebcdn.com/9E1HTV21/at/5gh5wpxmw54gqq2mf4sf6jn/06-120325-flip-mobile-smallGrideCard-300x160.jpg?auto=webp&format=jpg&max_age=2592000&optimize=high&width=600,https://www.heb.com/discover/flip-the-dip?int=curbside-premium-home-smallgridcardb.flip-the-dip
"$9.99
each
($0.83 / oz)
H-E-B Fully Cooked Frozen Seasoned Beef Fajitas, 12 oz
In Meat Market on the Back Wall",$9.99,https://images.heb.com/is/image/HEBGrocery/prd-small/000125208.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fully-cooked-frozen-seasoned-beef-fajitas/125208
"$1.48
each
($0.10 / oz)
H-E-B Texas Style Charro Beans, 15 oz
Aisle 6",$1.48,https://images.heb.com/is/image/HEBGrocery/prd-small/001600780.jpg?v=1,https://www.heb.com/product-detail/h-e-b-texas-style-charro-beans/1600780
"$2.98
each
($0.37 / oz)
H-E-B Mexican Style Shredded Cheese Blend, 8 oz
In Meat Market on the Back Wall",$2.98,https://images.heb.com/is/image/HEBGrocery/prd-small/000543845.jpg?v=1,https://www.heb.com/product-detail/h-e-b-mexican-style-shredded-cheese-blend/543845
"$3.64
each
($0.23 / oz)
H-E-B Shredded Fresh Iceberg Lettuce, 16 oz
In Produce on the Right Wall",$3.64,https://images.heb.com/is/image/HEBGrocery/prd-small/001539077.jpg?v=1,https://www.heb.com/product-detail/h-e-b-shredded-fresh-iceberg-lettuce/1539077
"$3.17
each
($0.53 / ct)
H-E-B Fresh Mini Hass Avocados, 6 ct
In Produce",$3.17,https://images.heb.com/is/image/HEBGrocery/prd-small/006180072.jpg?v=1,https://www.heb.com/product-detail/h-e-b-fresh-mini-hass-avocados/6180072
